,f,$(En)diff_{ab}$,$Fi_b$,$(En)diff_{cb}$,LUMO_character,LUMO_element,$Ce_a$,$R_b$,$D_b$,$Dp_b$,$Dp_a$,$o$,$(En)diff_{ca}$,$y$
0,-1,0.62,717.3,1.89,3,25,1.113,0.5900000000000001,7.44,68.0,162.7,0.4214285714285715,2.51,0
1,-1,0.5899999999999999,719.7,1.1600000000000001,3,45,1.16,0.67,12.4,66.0,46.0,0.47857142857142865,1.75,0
2,-10,0.78,558.3,1.66,1,49,1.84,0.8,7.31,65.0,160.8,0.5714285714285715,2.44,1
3,0,0.010000000000000009,737.1,1.53,2,8,4.63,0.69,8.91,49.0,37.3,0.4928571428571428,1.54,1
4,2,0.52,737.7,2.13,3,26,4.28,0.72,1.74,71.2,62.0,0.5142857142857143,1.6099999999999999,0
5,1,0.49,593.4,2.24,2,8,1.16,0.94,7.9,158.0,46.0,0.6714285714285715,1.75,1
6,-1,0.56,658.8,1.9,3,22,1.63,0.64,4.54,100.0,164.1125,0.4571428571428572,2.46,0
7,2,0.16999999999999993,544.5,2.27,4,62,1.84,0.96,7.52,192.0,160.8,0.6857142857142857,2.44,0
8,-1,0.8999999999999999,760.4,1.56,3,27,1.63,0.5700000000000001,8.86,55.0,164.1125,0.4071428571428572,2.46,0
9,1,0.15000000000000013,538.1,2.34,3,57,1.72,1.03,6.15,215.0,197.2,0.7357142857142858,2.49,1
10,-9,0.96,708.6,1.48,2,8,1.84,0.8647,7.29,53.0,160.8,0.6176428571428572,2.44,0
11,1,1.23,495.8,2.51,3,42,6.82,1.02,0.971,162.7,87.0,0.7285714285714286,1.2799999999999998,0
12,-1,0.3500000000000001,640.1,2.11,1,40,1.63,0.76475,6.51,112.0,164.1125,0.54625,2.46,0
13,0,0.5,578.8,1.63,1,31,1.51,0.62,5.91,50.0,71.2,0.4428571428571429,2.13,1
14,-1,0.25,652.9,1.78,1,24,4.44,0.62,7.15,83.0,49.0,0.4428571428571429,1.53,0
15,-1,0.9800000000000002,600.0,2.2199999999999998,3,46,3.89,0.9,4.47,162.0,26.14,0.6428571428571429,1.2399999999999998,0
16,0,0.1299999999999999,760.4,1.56,3,27,3.85,0.61,8.86,55.0,40.0,0.4357142857142857,1.4300000000000002,0
17,2,0.6999999999999997,737.7,2.13,2,8,3.85,0.72,1.74,71.2,40.0,0.5142857142857143,1.4300000000000002,1
18,0,1.0700000000000003,527.0,2.31,4,59,3.89,0.99,6.77,216.0,26.14,0.7071428571428572,1.2399999999999998,0
19,0,0.54,658.8,1.9,3,22,1.84,0.67,4.54,100.0,160.8,0.47857142857142865,2.44,0
20,0,0.09999999999999987,717.3,1.89,3,25,1.35,0.65,7.44,68.0,38.67,0.46428571428571436,1.79,0
21,-2,0.2300000000000002,731.0,1.51,1,47,6.82,0.94,10.5,55.0,87.0,0.6714285714285715,1.2799999999999998,1
22,-1,0.5100000000000002,684.3,1.2799999999999998,3,42,1.35,0.69,10.2,87.0,38.67,0.4928571428571428,1.79,0
23,0,0.30999999999999983,760.4,1.56,3,27,3.32,0.61,8.86,55.0,37.74,0.4357142857142857,1.8699999999999999,0
24,0,0.030000000000000027,760.4,1.56,3,27,4.44,0.61,8.86,55.0,49.0,0.4357142857142857,1.53,0
25,-1,0.5700000000000001,717.3,1.89,3,25,1.63,0.5900000000000001,7.44,68.0,164.1125,0.4214285714285715,2.46,0
26,2,0.19999999999999996,565.8,2.24,4,65,1.84,0.92,8.23,170.0,160.8,0.6571428571428573,2.44,0
27,-1,0.3999999999999999,719.7,1.1600000000000001,3,45,4.39,0.67,12.4,66.0,55.0,0.47857142857142865,1.56,0
28,-1,0.8999999999999999,745.5,1.54,3,29,1.84,0.54,8.96,46.5,160.8,0.3857142857142858,2.44,0
29,-1,1.38,770.0,1.08,3,74,1.63,0.7039500000000001,19.3,68.0,164.1125,0.5028214285714286,2.46,0
30,0,0.5699999999999998,760.4,1.56,3,27,1.51,0.61,8.86,55.0,71.2,0.4357142857142857,2.13,0
31,-1,1.1600000000000001,684.3,1.2799999999999998,3,42,1.84,0.69,10.2,87.0,160.8,0.4928571428571428,2.44,1
32,0,0.07999999999999985,577.5,1.8299999999999998,1,13,1.16,0.54,2.7,57.8,46.0,0.3857142857142858,1.75,0
33,0,0.14000000000000012,762.5,1.6099999999999999,3,26,1.16,0.65,7.87,62.0,46.0,0.46428571428571436,1.75,0
34,0,0.30000000000000004,577.5,1.8299999999999998,1,13,1.51,0.54,2.7,57.8,71.2,0.3857142857142858,2.13,0
35,-9,0.6499999999999999,708.6,1.48,2,8,1.51,0.8647,7.29,53.0,71.2,0.6176428571428572,2.13,0
36,-10,0.09000000000000008,558.3,1.66,1,49,1.16,0.8,7.31,65.0,46.0,0.5714285714285715,1.75,0
37,0,0.020000000000000018,760.4,1.56,3,27,4.63,0.75,8.86,55.0,37.3,0.5357142857142857,1.54,0
38,2,1.4299999999999997,495.8,2.51,3,74,8.9,1.02,0.971,162.7,68.0,0.7285714285714286,1.08,1
39,-1,0.5899999999999999,745.5,1.54,3,29,1.51,0.54,8.96,46.5,71.2,0.3857142857142858,2.13,0
40,0,0.33000000000000007,717.3,1.89,3,25,3.04,0.65,7.44,68.0,163.0,0.46428571428571436,2.2199999999999998,0
41,-1,0.3400000000000001,652.9,1.78,3,24,0.67,0.62,7.15,83.0,33.91,0.4428571428571429,1.44,0
42,0,0.8799999999999999,760.4,1.56,3,27,1.84,0.61,8.86,55.0,160.8,0.4357142857142857,2.44,0
43,2,0.5699999999999998,737.7,2.13,3,27,4.39,0.72,1.74,71.2,55.0,0.5142857142857143,1.56,0
44,0,0.17999999999999972,762.5,1.6099999999999999,3,26,3.85,0.65,7.87,62.0,40.0,0.46428571428571436,1.4300000000000002,0
45,-1,0.10999999999999988,652.9,1.78,1,25,2.92,0.62,7.15,83.0,68.0,0.4428571428571429,1.89,1
46,0,0.6100000000000001,762.5,1.6099999999999999,3,26,4.37,0.65,7.87,62.0,162.0,0.46428571428571436,2.2199999999999998,0
47,0,0.32000000000000006,658.8,1.9,3,22,4.37,0.67,4.54,100.0,162.0,0.47857142857142865,2.2199999999999998,0
48,-1,0.6999999999999998,650.9,1.81,3,23,1.113,0.61,6.11,87.0,162.7,0.4357142857142857,2.51,1
49,0,0.039999999999999813,577.5,1.8299999999999998,1,13,1.35,0.54,2.7,57.8,38.67,0.3857142857142858,1.79,0
50,-1,0.030000000000000027,652.9,1.78,3,24,1.16,0.62,7.15,83.0,46.0,0.4428571428571429,1.75,0
51,0,0.18999999999999995,760.4,1.56,3,27,1.16,0.61,8.86,55.0,46.0,0.4357142857142857,1.75,1
52,0,0.16999999999999993,762.5,1.6099999999999999,3,26,0.67,0.65,7.87,62.0,33.91,0.46428571428571436,1.44,0
53,0,0.019999999999999796,650.9,1.81,3,23,3.39,0.7150000000000001,6.11,87.0,57.8,0.5107142857142858,1.8299999999999998,0
54,-2,0.7299999999999999,652.9,1.78,3,24,1.113,0.585,7.15,83.0,162.7,0.41785714285714287,2.51,0
55,-1,0.21999999999999997,652.9,1.78,1,24,4.39,0.62,7.15,83.0,55.0,0.4428571428571429,1.56,1
56,0,0.2699999999999998,577.5,1.8299999999999998,3,27,4.39,0.54,2.7,57.8,55.0,0.3857142857142858,1.56,0
57,-1,0.04999999999999982,652.9,1.78,3,24,3.39,0.71,7.15,83.0,57.8,0.5071428571428571,1.8299999999999998,0
58,0,0.18999999999999995,578.8,1.63,1,31,0.67,0.62,5.91,50.0,33.91,0.4428571428571429,1.44,0
59,-1,0.34999999999999987,717.3,1.89,3,25,3.49,0.65,7.44,68.0,46.5,0.46428571428571436,1.54,0
60,0,0.28,762.5,1.6099999999999999,3,26,2.92,0.65,7.87,62.0,68.0,0.46428571428571436,1.89,0
61,2,0.18999999999999995,533.1,2.3,4,60,1.72,0.98,7.01,208.0,197.2,0.7000000000000001,2.49,0
62,2,0.5899999999999999,737.7,2.13,2,8,4.63,0.72,1.74,71.2,37.3,0.5142857142857143,1.54,1
63,-1,0.8500000000000001,684.3,1.2799999999999998,3,42,1.51,0.69,10.2,87.0,71.2,0.4928571428571428,2.13,0
64,-9,0.7399999999999998,834.0,1.3900000000000001,2,51,1.51,0.76,6.69,43.0,71.2,0.5428571428571429,2.13,0
65,0,1.0600000000000003,533.1,2.3,4,60,3.89,0.98,7.01,208.0,26.14,0.7000000000000001,1.2399999999999998,0
66,0,0.21999999999999997,762.5,1.6099999999999999,3,26,3.39,0.7150000000000001,7.87,62.0,57.8,0.5107142857142858,1.8299999999999998,0
67,-8,0.71,703.0,1.42,2,83,1.51,1.03,9.81,48.0,71.2,0.7357142857142858,2.13,0
68,0,0.20000000000000018,650.9,1.81,3,23,4.28,0.64,6.11,87.0,62.0,0.4571428571428572,1.6099999999999999,0
69,-1,0.17000000000000015,652.9,1.78,1,24,4.28,0.62,7.15,83.0,62.0,0.4428571428571429,1.6099999999999999,0
70,0,0.18000000000000016,762.5,1.6099999999999999,3,26,1.35,0.65,7.87,62.0,38.67,0.46428571428571436,1.79,1
71,0,0.5999999999999999,737.1,1.53,2,8,1.51,0.6,8.91,49.0,71.2,0.4285714285714286,2.13,0
72,0,0.10999999999999988,658.8,1.9,3,22,1.35,0.67,4.54,100.0,38.67,0.47857142857142865,1.79,0
73,0,0.8300000000000001,762.5,1.6099999999999999,3,26,1.84,0.65,7.87,62.0,160.8,0.46428571428571436,2.44,1
74,0,0.030000000000000027,737.1,1.53,3,27,4.39,0.6,8.91,49.0,55.0,0.4285714285714286,1.56,0
75,0,0.52,762.5,1.6099999999999999,3,26,1.51,0.65,7.87,62.0,71.2,0.46428571428571436,2.13,1
76,2,0.21999999999999997,544.5,2.27,4,62,1.72,0.96,7.52,192.0,197.2,0.6857142857142857,2.49,1
77,1,0.21999999999999997,600.0,2.2199999999999998,1,39,1.84,0.9,4.47,162.0,160.8,0.6428571428571429,2.44,0
78,1,0.21000000000000008,538.1,2.34,3,57,1.9,1.03,6.15,215.0,272.0,0.7357142857142858,2.55,0
79,0,0.06000000000000005,650.9,1.81,3,23,1.16,0.64,6.11,87.0,46.0,0.4571428571428572,1.75,0
80,-1,0.9,762.5,1.6099999999999999,3,26,1.113,0.62,7.87,62.0,162.7,0.4428571428571429,2.51,0
81,1,0.020000000000000018,600.0,2.2199999999999998,4,63,1.86,0.9,4.47,162.0,184.0,0.6428571428571429,2.24,0
82,0,0.06000000000000005,717.3,1.89,3,25,3.39,0.74,7.44,68.0,57.8,0.5285714285714286,1.8299999999999998,0
83,-2,0.24,652.9,1.78,1,24,3.49,0.62,7.15,83.0,46.5,0.4428571428571429,1.54,0
84,-1,0.2899999999999998,577.5,1.8299999999999998,3,29,3.49,0.54,2.7,57.8,46.5,0.3857142857142858,1.54,0
85,0,0.27,650.9,1.81,3,23,4.63,0.79,6.11,87.0,37.3,0.5642857142857144,1.54,0
86,-1,0.25,745.5,1.54,3,29,1.35,0.54,8.96,46.5,38.67,0.3857142857142858,1.79,0
87,0,0.2699999999999998,760.4,1.56,3,27,3.39,0.6799999999999999,8.86,55.0,57.8,0.4857142857142857,1.8299999999999998,0
88,0,0.31000000000000005,906.4,1.79,2,8,3.14,0.74,7.13,38.67,53.0,0.5285714285714286,1.48,1
89,0,0.06999999999999984,762.5,1.6099999999999999,3,26,4.63,0.78,7.87,62.0,37.3,0.5571428571428572,1.54,0
90,0,0.07999999999999985,650.9,1.81,3,25,2.92,0.64,6.11,87.0,68.0,0.4571428571428572,1.89,0
91,0,0.06999999999999984,578.8,1.63,3,27,4.39,0.62,5.91,50.0,55.0,0.4428571428571429,1.56,0
92,-1,0.010000000000000009,652.9,1.78,3,24,1.35,0.62,7.15,83.0,38.67,0.4428571428571429,1.79,0
93,0,0.09999999999999987,578.8,1.63,2,8,4.44,0.62,5.91,50.0,49.0,0.4428571428571429,1.53,0
94,0,0.010000000000000009,658.8,1.9,3,25,2.92,0.67,4.54,100.0,68.0,0.47857142857142865,1.89,0
95,0,0.07999999999999985,762.5,1.6099999999999999,3,26,4.44,0.65,7.87,62.0,49.0,0.46428571428571436,1.53,0
96,1,0.32000000000000006,523.5,2.17,1,71,1.72,0.86,9.84,137.0,197.2,0.6142857142857143,2.49,0
97,0,0.26,737.1,1.53,2,8,1.35,0.6,8.91,49.0,38.67,0.4285714285714286,1.79,0
98,-1,0.8500000000000001,762.5,1.6099999999999999,3,26,1.63,0.62,7.87,62.0,164.1125,0.4428571428571429,2.46,0
99,-1,0.030000000000000027,652.9,1.78,3,23,5.31,0.62,7.15,83.0,87.0,0.4428571428571429,1.81,0
100,0,0.1200000000000001,578.8,1.63,1,31,1.16,0.62,5.91,50.0,46.0,0.4428571428571429,1.75,0
101,0,0.25,906.4,1.79,2,8,4.63,0.74,7.13,38.67,37.3,0.5285714285714286,1.54,1
102,-1,0.61,658.8,1.9,3,22,1.113,0.64,4.54,100.0,162.7,0.4571428571428572,2.51,0
103,0,0.16000000000000014,578.8,1.63,1,31,1.35,0.62,5.91,50.0,38.67,0.4428571428571429,1.79,0
104,-9,1.0499999999999998,834.0,1.3900000000000001,2,51,1.84,0.76,6.69,43.0,160.8,0.5428571428571429,2.44,0
105,0,0.07000000000000006,658.8,1.9,3,22,3.39,0.765,4.54,100.0,57.8,0.5464285714285715,1.8299999999999998,0
106,0,0.020000000000000018,650.9,1.81,3,23,1.35,0.64,6.11,87.0,38.67,0.4571428571428572,1.79,0
107,0,0.22999999999999998,658.8,1.9,3,22,1.51,0.67,4.54,100.0,71.2,0.47857142857142865,2.13,0
108,2,0.25,596.7,2.19,4,69,1.84,0.88,9.32,144.0,160.8,0.6285714285714287,2.44,0
109,-1,0.010000000000000009,737.1,1.53,1,28,3.49,0.6,8.91,49.0,46.5,0.4285714285714286,1.54,0
110,0,1.3599999999999999,770.0,1.08,3,74,1.84,0.7479,19.3,68.0,160.8,0.5342142857142858,2.44,1
111,0,0.69,737.1,1.53,2,8,4.37,0.6,8.91,49.0,162.0,0.4285714285714286,2.2199999999999998,0
112,-10,0.22999999999999998,558.3,1.66,3,25,2.92,0.8,7.31,65.0,68.0,0.5714285714285715,1.89,0
113,0,0.6299999999999999,650.9,1.81,3,23,1.84,0.64,6.11,87.0,160.8,0.4571428571428572,2.44,1
114,-1,0.6599999999999999,652.9,1.78,3,24,1.84,0.62,7.15,83.0,160.8,0.4428571428571429,2.44,0
115,1,0.78,600.0,2.2199999999999998,1,80,0.67,0.9,4.47,162.0,33.91,0.6428571428571429,1.44,1
116,-8,1.02,703.0,1.42,2,83,1.84,1.03,9.81,48.0,160.8,0.7357142857142858,2.44,0
117,-2,0.5500000000000003,906.4,1.79,3,46,3.89,0.74,7.13,38.67,26.14,0.5285714285714286,1.2399999999999998,0
118,0,0.22999999999999998,760.4,1.56,3,27,1.35,0.61,8.86,55.0,38.67,0.4357142857142857,1.79,0
119,-8,0.3700000000000001,703.0,1.42,1,30,1.35,1.03,9.81,48.0,38.67,0.7357142857142858,1.79,0
120,0,0.3599999999999999,717.3,1.89,3,25,4.44,0.65,7.44,68.0,49.0,0.46428571428571436,1.53,0
121,-2,0.3799999999999999,719.7,1.1600000000000001,3,29,3.49,0.67,12.4,66.0,46.5,0.47857142857142865,1.54,0
122,0,0.32999999999999985,760.4,1.56,3,27,2.92,0.61,8.86,55.0,68.0,0.4357142857142857,1.89,0
123,-10,0.47,558.3,1.66,1,49,1.51,0.8,7.31,65.0,71.2,0.5714285714285715,2.13,1
124,0,0.20999999999999996,867.8,1.75,2,8,4.63,0.95,8.69,46.0,37.3,0.6785714285714286,1.54,1
125,0,0.31999999999999984,650.9,1.81,3,23,1.51,0.64,6.11,87.0,71.2,0.4571428571428572,2.13,0
126,-1,0.6299999999999999,719.7,1.1600000000000001,3,45,1.35,0.67,12.4,66.0,38.67,0.47857142857142865,1.79,0
127,2,0.31999999999999984,737.7,2.13,3,23,5.31,0.72,1.74,71.2,87.0,0.5142857142857143,1.81,0
128,-1,0.2899999999999998,745.5,1.54,3,29,3.39,0.635,8.96,46.5,57.8,0.4535714285714286,1.8299999999999998,0
129,1,0.41000000000000014,633.1,2.08,1,21,1.72,0.75,2.99,97.0,197.2,0.5357142857142857,2.49,0
130,-2,1.1800000000000002,684.3,1.2799999999999998,3,42,1.63,0.6699999999999999,10.2,87.0,164.1125,0.47857142857142854,2.46,0
131,-9,0.3999999999999999,834.0,1.3900000000000001,1,30,1.35,0.76,6.69,43.0,38.67,0.5428571428571429,1.79,0
132,0,0.25,650.9,1.81,3,23,4.39,0.64,6.11,87.0,55.0,0.4571428571428572,1.56,0
133,1,0.19999999999999996,593.4,2.24,2,8,1.84,0.94,7.9,158.0,160.8,0.6714285714285715,2.44,1
134,0,0.5500000000000003,880.0,1.2399999999999998,3,77,1.35,0.68,22.6,54.0,38.67,0.48571428571428577,1.79,0
135,1,0.09999999999999987,538.1,2.34,4,63,1.86,1.03,6.15,215.0,184.0,0.7357142857142858,2.24,1
136,-1,0.9299999999999999,737.1,1.53,2,8,1.63,0.54,8.91,49.0,164.1125,0.3857142857142858,2.46,0
137,2,0.6499999999999999,737.7,2.13,2,8,3.14,0.72,1.74,71.2,53.0,0.5142857142857143,1.48,0
138,-1,0.6199999999999999,731.0,1.51,3,47,1.51,0.75,10.5,55.0,71.2,0.5357142857142857,2.13,0
139,0,0.21999999999999997,577.5,1.8299999999999998,3,26,4.28,0.54,2.7,57.8,62.0,0.3857142857142858,1.6099999999999999,0
140,-1,0.9299999999999999,731.0,1.51,3,47,1.84,0.75,10.5,55.0,160.8,0.5357142857142857,2.44,0
141,0,1.0499999999999998,770.0,1.08,3,74,1.51,0.7479,19.3,68.0,71.2,0.5342142857142858,2.13,1
142,0,0.9099999999999999,737.1,1.53,2,8,1.84,0.6,8.91,49.0,160.8,0.4285714285714286,2.44,0
143,0,0.2999999999999998,737.1,1.53,2,8,3.39,0.645,8.91,49.0,57.8,0.46071428571428574,1.8299999999999998,0
144,-10,0.21999999999999997,558.3,1.66,1,49,0.67,0.8,7.31,65.0,33.91,0.5714285714285715,1.44,0
145,-1,0.06999999999999984,762.5,1.6099999999999999,3,26,3.49,0.65,7.87,62.0,46.5,0.46428571428571436,1.54,0
146,-9,0.31000000000000005,708.6,1.48,2,8,1.35,0.8647,7.29,53.0,38.67,0.6176428571428572,1.79,0
147,0,0.2999999999999998,577.5,1.8299999999999998,2,8,4.44,0.54,2.7,57.8,49.0,0.3857142857142858,1.53,0
148,0,0.71,770.0,1.08,3,74,1.35,0.7479,19.3,68.0,38.67,0.5342142857142858,1.79,1
149,-1,0.6799999999999999,745.5,1.54,3,29,4.37,0.54,8.96,46.5,162.0,0.3857142857142858,2.2199999999999998,0
150,-1,0.020000000000000018,760.4,1.56,1,27,3.49,0.61,8.86,55.0,46.5,0.4357142857142857,1.54,0
151,0,0.04999999999999982,762.5,1.6099999999999999,3,26,4.39,0.65,7.87,62.0,55.0,0.46428571428571436,1.56,1
152,-1,0.28,731.0,1.51,3,47,1.35,0.75,10.5,55.0,38.67,0.5357142857142857,1.79,0
153,0,0.1200000000000001,760.4,1.56,3,27,0.67,0.61,8.86,55.0,33.91,0.4357142857142857,1.44,0
154,0,0.24,717.3,1.89,3,25,1.51,0.65,7.44,68.0,71.2,0.46428571428571436,2.13,0
155,-1,0.08999999999999986,578.8,1.63,3,29,3.49,0.62,5.91,50.0,46.5,0.4428571428571429,1.54,0
156,-10,0.13000000000000012,558.3,1.66,1,49,1.35,0.8,7.31,65.0,38.67,0.5714285714285715,1.79,0
157,0,0.07999999999999985,737.1,1.53,3,26,4.28,0.6,8.91,49.0,62.0,0.4285714285714286,1.6099999999999999,0
158,0,0.3899999999999999,577.5,1.8299999999999998,1,13,0.67,0.54,2.7,57.8,33.91,0.3857142857142858,1.44,1
159,-1,0.3699999999999999,719.7,1.1600000000000001,3,45,4.44,0.67,12.4,66.0,49.0,0.47857142857142865,1.53,0
160,-1,0.7299999999999998,719.7,1.1600000000000001,3,45,2.92,0.67,12.4,66.0,68.0,0.47857142857142865,1.89,0
161,0,0.09999999999999987,737.1,1.53,2,8,3.85,0.6,8.91,49.0,40.0,0.4285714285714286,1.4300000000000002,1
162,-1,0.34999999999999987,652.9,1.78,3,24,1.51,0.62,7.15,83.0,71.2,0.4428571428571429,2.13,1
163,-1,0.9699999999999998,719.7,1.1600000000000001,3,45,1.51,0.67,12.4,66.0,71.2,0.47857142857142865,2.13,0
164,-1,0.6499999999999999,650.9,1.81,3,23,1.63,0.61,6.11,87.0,164.1125,0.4357142857142857,2.46,0
