,f,$(En)diff_{ab}$,$Fi_b$,$(En)diff_{cb}$,LUMO_character,LUMO_element,$Ce_a$,$R_b$,$D_b$,$Dp_b$,$Dp_a$,$o$,$(En)diff_{ca}$,$y$
165,0,0.06000000000000005,577.5,1.8299999999999998,3,25,2.92,0.54,2.7,57.8,68.0,0.3857142857142858,1.89,1
166,0,0.27,867.8,1.75,2,8,3.14,0.95,8.69,46.0,53.0,0.6785714285714286,1.48,0
167,0,0.24,717.3,1.03,2,16,1.51,0.65,7.44,68.0,71.2,0.3532608695652174,1.27,0
168,-1,0.5700000000000001,717.3,1.03,2,16,1.63,0.5900000000000001,7.44,68.0,164.1125,0.3206521739130435,1.6,0
169,2,0.18000000000000016,527.0,1.4500000000000002,4,59,1.51,0.99,6.77,216.0,71.2,0.5380434782608695,1.27,1
170,-1,0.5699999999999998,640.1,1.25,1,29,3.49,0.8095,6.51,112.0,46.5,0.439945652173913,0.6800000000000002,0
171,-1,0.010000000000000009,652.9,0.9200000000000002,3,24,1.35,0.62,7.15,83.0,38.67,0.33695652173913043,0.9300000000000002,0
172,1,0.2899999999999998,633.1,1.22,1,30,1.35,0.75,2.99,97.0,38.67,0.4076086956521739,0.9300000000000002,1
173,-1,0.6599999999999999,652.9,0.9200000000000002,3,24,1.84,0.62,7.15,83.0,160.8,0.33695652173913043,1.58,0
174,2,0.47,573.0,1.36,2,16,1.16,0.91,8.55,163.0,46.0,0.4945652173913043,0.8900000000000001,1
175,0,0.07999999999999985,737.1,0.6700000000000002,2,16,4.28,0.6,8.91,49.0,62.0,0.3260869565217391,0.75,0
176,-1,0.15000000000000013,578.8,0.77,1,24,4.1,0.62,5.91,50.0,83.0,0.33695652173913043,0.9200000000000002,0
177,2,0.09000000000000008,573.0,1.36,2,16,1.51,0.91,8.55,163.0,71.2,0.4945652173913043,1.27,1
178,1,0.18999999999999995,534.4,1.46,4,58,1.51,1.01,6.77,205.0,71.2,0.5489130434782609,1.27,0
179,0,0.31999999999999984,650.9,0.9500000000000002,3,23,1.51,0.64,6.11,87.0,71.2,0.34782608695652173,1.27,0
180,-11,0.11999999999999988,558.3,0.8,3,29,3.49,0.8,7.31,65.0,46.5,0.43478260869565216,0.6800000000000002,0
181,2,0.73,603.4,1.48,2,16,4.28,0.87,6.97,139.0,62.0,0.47282608695652173,0.75,0
182,-10,0.21999999999999997,558.3,0.8,2,16,0.67,0.8,7.31,65.0,33.91,0.43478260869565216,0.5800000000000001,0
183,-1,0.020000000000000018,760.4,0.7000000000000002,1,27,3.49,0.61,8.86,55.0,46.5,0.33152173913043476,0.6800000000000002,0
184,0,1.0499999999999998,770.0,0.2200000000000002,3,74,1.51,0.7479,19.3,68.0,71.2,0.40646739130434784,1.27,0
185,2,0.44999999999999996,603.4,1.48,2,16,2.92,0.87,6.97,139.0,68.0,0.47282608695652173,1.03,0
186,-10,0.47,558.3,0.8,2,16,1.51,0.8,7.31,65.0,71.2,0.43478260869565216,1.27,0
187,2,0.06000000000000005,596.7,1.33,2,16,1.51,0.88,9.32,144.0,71.2,0.47826086956521735,1.27,1
188,0,0.55,717.3,1.03,2,16,1.84,0.65,7.44,68.0,160.8,0.3532608695652174,1.58,0
189,-1,0.17000000000000015,652.9,0.9200000000000002,1,24,4.28,0.62,7.15,83.0,62.0,0.33695652173913043,0.75,0
190,0,0.09999999999999987,717.3,1.03,2,16,1.35,0.65,7.44,68.0,38.67,0.3532608695652174,0.9300000000000002,0
191,0,0.2699999999999998,760.4,0.7000000000000002,2,16,3.39,0.6799999999999999,8.86,55.0,57.8,0.3695652173913043,0.97,0
192,2,0.5899999999999999,603.4,1.48,2,16,1.16,0.87,6.97,139.0,46.0,0.47282608695652173,0.8900000000000001,0
193,1,0.32999999999999985,633.1,1.22,1,48,1.16,0.75,2.99,97.0,46.0,0.4076086956521739,0.8900000000000001,1
194,-11,0.1200000000000001,558.3,0.8,1,24,4.1,0.8,7.31,65.0,83.0,0.43478260869565216,0.9200000000000002,0
195,-2,0.27,652.9,0.9200000000000002,1,24,2.95,0.62,7.15,83.0,55.0,0.33695652173913043,0.6500000000000001,0
196,-10,0.09999999999999987,558.3,0.8,2,16,4.39,0.8,7.31,65.0,55.0,0.43478260869565216,0.7000000000000002,0
197,-1,0.34999999999999987,652.9,0.9200000000000002,3,24,1.51,0.62,7.15,83.0,71.2,0.33695652173913043,1.27,0
198,0,0.5,578.8,0.77,2,16,1.51,0.62,5.91,50.0,71.2,0.33695652173913043,1.27,0
199,-1,0.3599999999999999,658.8,1.04,1,29,3.49,0.67,4.54,100.0,46.5,0.3641304347826087,0.6800000000000002,0
200,2,0.1100000000000001,565.8,1.3800000000000001,4,65,1.51,0.92,8.23,170.0,71.2,0.5,1.27,1
201,2,0.07000000000000006,589.3,1.34,2,16,1.51,0.89,9.07,150.0,71.2,0.483695652173913,1.27,1
202,0,0.54,658.8,1.04,3,22,1.84,0.67,4.54,100.0,160.8,0.3641304347826087,1.58,0
203,0,0.16000000000000014,578.8,0.77,2,16,1.35,0.62,5.91,50.0,38.67,0.33695652173913043,0.9300000000000002,0
204,0,0.5699999999999998,760.4,0.7000000000000002,2,16,1.51,0.61,8.86,55.0,71.2,0.33152173913043476,1.27,0
205,0,0.52,762.5,0.75,2,16,1.51,0.65,7.87,62.0,71.2,0.3532608695652174,1.27,0
206,-1,0.56,658.8,1.04,3,22,1.63,0.64,4.54,100.0,164.1125,0.34782608695652173,1.6,0
207,-10,0.050000000000000044,558.3,0.8,2,16,4.28,0.8,7.31,65.0,62.0,0.43478260869565216,0.75,0
208,-1,0.8500000000000001,684.3,0.41999999999999993,3,42,1.51,0.69,10.2,87.0,71.2,0.37499999999999994,1.27,0
209,-1,0.3699999999999999,719.7,0.30000000000000027,3,45,4.44,0.67,12.4,66.0,49.0,0.3641304347826087,0.6700000000000002,0
210,0,0.6299999999999999,650.9,0.9500000000000002,3,23,1.84,0.64,6.11,87.0,160.8,0.34782608695652173,1.58,0
211,1,0.09000000000000008,600.0,1.36,1,12,1.51,0.9,4.47,162.0,71.2,0.4891304347826087,1.27,1
212,0,0.3899999999999999,577.5,0.97,2,16,0.67,0.54,2.7,57.8,33.91,0.29347826086956524,0.5800000000000001,0
213,1,0.56,523.5,1.31,2,16,4.28,0.86,9.84,137.0,62.0,0.46739130434782605,0.75,0
214,1,0.28,523.5,1.31,2,16,2.92,0.86,9.84,137.0,68.0,0.46739130434782605,1.03,0
215,0,0.18000000000000016,762.5,0.75,2,16,1.35,0.65,7.87,62.0,38.67,0.3532608695652174,0.9300000000000002,0
216,-10,0.1299999999999999,558.3,0.8,2,16,4.44,0.8,7.31,65.0,49.0,0.43478260869565216,0.6700000000000002,0
217,2,0.08000000000000007,581.0,1.35,2,16,1.51,0.9,8.8,156.0,71.2,0.4891304347826087,1.27,1
218,-2,0.24,652.9,0.9200000000000002,1,24,3.49,0.62,7.15,83.0,46.5,0.33695652173913043,0.6800000000000002,0
219,0,0.22999999999999998,760.4,0.7000000000000002,2,16,1.35,0.61,8.86,55.0,38.67,0.33152173913043476,0.9300000000000002,0
220,-1,0.10999999999999988,652.9,0.9200000000000002,1,25,2.92,0.62,7.15,83.0,68.0,0.33695652173913043,1.03,0
221,-2,0.8699999999999999,652.9,0.9200000000000002,3,24,0.804,0.585,7.15,83.0,400.9,0.3179347826086956,1.79,0
222,-1,0.9299999999999999,737.1,0.6700000000000002,2,16,1.63,0.54,8.91,49.0,164.1125,0.29347826086956524,1.6,0
223,2,0.45999999999999996,581.0,1.35,2,16,1.16,0.9,8.8,156.0,46.0,0.4891304347826087,0.8900000000000001,1
224,0,0.10999999999999988,658.8,1.04,3,22,1.35,0.67,4.54,100.0,38.67,0.3641304347826087,0.9300000000000002,0
225,0,0.06000000000000005,577.5,0.97,2,16,2.92,0.54,2.7,57.8,68.0,0.29347826086956524,1.03,1
226,-10,0.22999999999999998,558.3,0.8,2,16,2.92,0.8,7.31,65.0,68.0,0.43478260869565216,1.03,0
227,0,0.5999999999999999,737.1,0.6700000000000002,2,16,1.51,0.6,8.91,49.0,71.2,0.3260869565217391,1.27,0
228,2,0.43999999999999995,596.7,1.33,2,16,1.16,0.88,9.32,144.0,46.0,0.47826086956521735,0.8900000000000001,1
229,1,0.41999999999999993,523.5,1.31,1,48,1.16,0.86,9.84,137.0,46.0,0.46739130434782605,0.8900000000000001,1
230,1,0.040000000000000036,523.5,1.31,1,12,1.51,0.86,9.84,137.0,71.2,0.46739130434782605,1.27,1
231,0,0.22999999999999998,658.8,1.04,3,22,1.51,0.67,4.54,100.0,71.2,0.3641304347826087,1.27,0
232,-1,0.8500000000000001,762.5,0.75,2,16,1.63,0.62,7.87,62.0,164.1125,0.33695652173913043,1.6,0
233,0,0.30000000000000004,577.5,0.97,2,16,1.51,0.54,2.7,57.8,71.2,0.29347826086956524,1.27,0
234,0,0.030000000000000027,737.1,0.6700000000000002,2,16,4.39,0.6,8.91,49.0,55.0,0.3260869565217391,0.7000000000000002,0
235,-1,0.3999999999999999,719.7,0.30000000000000027,3,45,4.39,0.67,12.4,66.0,55.0,0.3641304347826087,0.7000000000000002,1
236,-1,0.44999999999999973,719.7,0.30000000000000027,3,45,4.28,0.67,12.4,66.0,62.0,0.3641304347826087,0.75,0
237,0,0.8300000000000001,762.5,0.75,2,16,1.84,0.65,7.87,62.0,160.8,0.3532608695652174,1.58,0
238,-1,0.27,650.9,0.9500000000000002,3,23,3.49,0.64,6.11,87.0,46.5,0.34782608695652173,0.6800000000000002,0
239,0,0.8799999999999999,760.4,0.7000000000000002,2,16,1.84,0.61,8.86,55.0,160.8,0.33152173913043476,1.58,0
240,0,0.26,737.1,0.6700000000000002,2,16,1.35,0.6,8.91,49.0,38.67,0.3260869565217391,0.9300000000000002,0
241,1,0.050000000000000044,633.1,1.22,1,12,1.51,0.75,2.99,97.0,71.2,0.4076086956521739,1.27,1
242,2,0.17000000000000015,533.1,1.4400000000000002,4,60,1.51,0.98,7.01,208.0,71.2,0.5326086956521738,1.27,1
243,0,0.039999999999999813,577.5,0.97,2,16,1.35,0.54,2.7,57.8,38.67,0.29347826086956524,0.9300000000000002,0
244,-2,0.84,652.9,0.9200000000000002,3,24,0.934,0.585,7.15,83.0,289.7,0.3179347826086956,1.7600000000000002,0
245,0,0.020000000000000018,650.9,0.9500000000000002,3,23,1.35,0.64,6.11,87.0,38.67,0.34782608695652173,0.9300000000000002,0
246,0,0.030000000000000027,760.4,0.7000000000000002,2,16,4.44,0.61,8.86,55.0,49.0,0.33152173913043476,0.6700000000000002,0
247,2,0.14000000000000012,544.5,1.4100000000000001,4,62,1.51,0.96,7.52,192.0,71.2,0.5217391304347826,1.27,1
248,1,0.18999999999999995,633.1,1.22,2,16,2.92,0.75,2.99,97.0,68.0,0.4076086956521739,1.03,0
249,2,0.20999999999999996,603.4,1.48,2,16,1.51,0.87,6.97,139.0,71.2,0.47282608695652173,1.27,0
250,2,0.18000000000000016,540.0,1.4500000000000002,4,61,1.51,0.97,7.26,200.0,71.2,0.5271739130434783,1.27,1
251,1,0.1100000000000001,593.4,1.3800000000000001,2,16,1.51,0.94,7.9,158.0,71.2,0.5108695652173912,1.27,0
252,2,0.1100000000000001,547.1,1.3800000000000001,4,63,1.51,0.95,5.24,184.0,71.2,0.5163043478260869,1.27,0
253,-2,0.3799999999999999,719.7,0.30000000000000027,3,29,3.49,0.67,12.4,66.0,46.5,0.3641304347826087,0.6800000000000002,0
254,-1,0.030000000000000027,652.9,0.9200000000000002,3,24,1.16,0.62,7.15,83.0,46.0,0.33695652173913043,0.8900000000000001,0
255,-1,0.3400000000000001,652.9,0.9200000000000002,3,24,0.67,0.62,7.15,83.0,33.91,0.33695652173913043,0.5800000000000001,0
256,1,0.47,633.1,1.22,2,16,4.28,0.75,2.99,97.0,62.0,0.4076086956521739,0.75,0
257,0,0.07999999999999985,577.5,0.97,2,16,1.16,0.54,2.7,57.8,46.0,0.29347826086956524,0.8900000000000001,0
258,2,0.44999999999999996,589.3,1.34,2,16,1.16,0.89,9.07,150.0,46.0,0.483695652173913,0.8900000000000001,1
259,-10,0.13000000000000012,558.3,0.8,2,16,1.35,0.8,7.31,65.0,38.67,0.43478260869565216,0.9300000000000002,0
260,1,0.42999999999999994,600.0,1.36,1,30,1.35,0.9,4.47,162.0,38.67,0.4891304347826087,0.9300000000000002,1
261,0,0.06999999999999984,762.5,0.75,2,16,4.63,0.78,7.87,62.0,37.3,0.42391304347826086,0.6800000000000002,0
262,-1,0.21999999999999997,652.9,0.9200000000000002,1,24,4.39,0.62,7.15,83.0,55.0,0.33695652173913043,0.7000000000000002,0
263,-2,0.7299999999999999,652.9,0.9200000000000002,3,24,1.113,0.585,7.15,83.0,162.7,0.3179347826086956,1.65,0
264,-1,0.30000000000000027,880.0,0.3799999999999999,3,29,3.49,0.68,22.6,54.0,46.5,0.3695652173913044,0.6800000000000002,0
265,-2,0.84,652.9,0.9200000000000002,3,24,0.852,0.585,7.15,83.0,319.8,0.3179347826086956,1.7600000000000002,0
266,-2,0.6799999999999999,652.9,0.9200000000000002,3,24,1.63,0.585,7.15,83.0,164.1125,0.3179347826086956,1.6,0
267,1,0.47,600.0,1.36,1,48,1.16,0.9,4.47,162.0,46.0,0.4891304347826087,0.8900000000000001,1
268,-10,0.09000000000000008,558.3,0.8,2,16,1.16,0.8,7.31,65.0,46.0,0.43478260869565216,0.8900000000000001,0
269,1,0.20999999999999996,538.1,1.48,1,12,1.51,1.03,6.15,215.0,71.2,0.5597826086956522,1.27,0
270,-1,0.15000000000000013,652.9,0.9200000000000002,3,24,2.81,0.71,7.15,83.0,50.0,0.38586956521739124,0.77,0
271,-1,0.8999999999999999,760.4,0.7000000000000002,2,16,1.63,0.5700000000000001,8.86,55.0,164.1125,0.3097826086956522,1.6,0
272,2,0.96,589.8,1.58,2,16,3.14,1.0,1.54,160.8,53.0,0.5434782608695652,0.6200000000000001,1
273,1,0.47,600.0,1.3299999999999998,1,48,1.16,0.9,4.47,162.0,46.0,0.4545454545454546,0.8599999999999999,1
274,-2,0.24,652.9,0.8899999999999999,1,24,3.49,0.62,7.15,83.0,46.5,0.31313131313131315,0.6499999999999999,0
275,2,0.09000000000000008,573.0,1.3299999999999998,2,34,1.51,0.91,8.55,163.0,71.2,0.4595959595959596,1.2399999999999998,1
276,-2,0.3799999999999999,719.7,0.27,3,29,3.49,0.67,12.4,66.0,46.5,0.3383838383838384,0.6499999999999999,0
277,1,0.050000000000000044,633.1,1.1899999999999997,1,12,1.51,0.75,2.99,97.0,71.2,0.3787878787878788,1.2399999999999998,1
278,2,0.17000000000000015,533.1,1.41,4,60,1.51,0.98,7.01,208.0,71.2,0.494949494949495,1.2399999999999998,1
279,-10,0.09000000000000008,558.3,0.7699999999999998,2,34,1.16,0.8,7.31,65.0,46.0,0.4040404040404041,0.8599999999999999,0
280,2,0.08000000000000007,581.0,1.3199999999999998,2,34,1.51,0.9,8.8,156.0,71.2,0.4545454545454546,1.2399999999999998,1
281,1,0.2899999999999998,633.1,1.1899999999999997,1,30,1.35,0.75,2.99,97.0,38.67,0.3787878787878788,0.8999999999999999,1
282,2,0.18000000000000016,527.0,1.42,4,59,1.51,0.99,6.77,216.0,71.2,0.5,1.2399999999999998,1
283,-10,0.13000000000000012,558.3,0.7699999999999998,2,34,1.35,0.8,7.31,65.0,38.67,0.4040404040404041,0.8999999999999999,0
284,2,0.1100000000000001,565.8,1.3499999999999999,2,34,1.51,0.92,8.23,170.0,71.2,0.4646464646464647,1.2399999999999998,1
285,1,0.20999999999999996,538.1,1.4499999999999997,1,12,1.51,1.03,6.15,215.0,71.2,0.5202020202020202,1.2399999999999998,1
286,-1,0.010000000000000009,652.9,0.8899999999999999,3,24,1.35,0.62,7.15,83.0,38.67,0.31313131313131315,0.8999999999999999,0
287,1,0.32999999999999985,633.1,1.1899999999999997,1,48,1.16,0.75,2.99,97.0,46.0,0.3787878787878788,0.8599999999999999,1
288,0,0.3899999999999999,577.5,0.9399999999999997,2,34,0.67,0.54,2.7,57.8,33.91,0.27272727272727276,0.5499999999999998,0
289,1,0.41999999999999993,523.5,1.2799999999999998,1,48,1.16,0.86,9.84,137.0,46.0,0.43434343434343436,0.8599999999999999,1
290,1,0.18999999999999995,633.1,1.1899999999999997,2,34,2.92,0.75,2.99,97.0,68.0,0.3787878787878788,0.9999999999999998,0
291,2,0.5499999999999998,603.4,1.4499999999999997,2,34,1.35,0.87,6.97,139.0,38.67,0.4393939393939394,0.8999999999999999,0
292,2,0.07000000000000006,589.3,1.3099999999999998,2,34,1.51,0.89,9.07,150.0,71.2,0.4494949494949495,1.2399999999999998,1
293,2,0.47,573.0,1.3299999999999998,2,34,1.16,0.91,8.55,163.0,46.0,0.4595959595959596,0.8599999999999999,1
294,2,0.18000000000000016,540.0,1.42,4,61,1.51,0.97,7.26,200.0,71.2,0.4898989898989899,1.2399999999999998,1
295,-1,0.3400000000000001,652.9,0.8899999999999999,3,24,0.67,0.62,7.15,83.0,33.91,0.31313131313131315,0.5499999999999998,0
296,-10,0.09999999999999987,558.3,0.7699999999999998,2,34,4.39,0.8,7.31,65.0,55.0,0.4040404040404041,0.6699999999999999,0
297,0,0.09999999999999987,717.3,0.9999999999999998,2,34,1.35,0.65,7.44,68.0,38.67,0.3282828282828283,0.8999999999999999,0
298,1,0.040000000000000036,523.5,1.2799999999999998,1,12,1.51,0.86,9.84,137.0,71.2,0.43434343434343436,1.2399999999999998,1
299,2,0.1100000000000001,547.1,1.3499999999999999,4,63,1.51,0.95,5.24,184.0,71.2,0.4797979797979798,1.2399999999999998,0
300,0,0.039999999999999813,577.5,0.9399999999999997,2,34,1.35,0.54,2.7,57.8,38.67,0.27272727272727276,0.8999999999999999,0
301,1,0.09000000000000008,600.0,1.3299999999999998,1,12,1.51,0.9,4.47,162.0,71.2,0.4545454545454546,1.2399999999999998,1
302,1,0.28,523.5,1.2799999999999998,2,34,2.92,0.86,9.84,137.0,68.0,0.43434343434343436,0.9999999999999998,1
303,2,0.43999999999999995,596.7,1.2999999999999998,2,34,1.16,0.88,9.32,144.0,46.0,0.4444444444444445,0.8599999999999999,1
304,-10,0.47,558.3,0.7699999999999998,2,34,1.51,0.8,7.31,65.0,71.2,0.4040404040404041,1.2399999999999998,1
305,2,0.5899999999999999,603.4,1.4499999999999997,2,34,1.16,0.87,6.97,139.0,46.0,0.4393939393939394,0.8599999999999999,0
306,1,0.42999999999999994,600.0,1.3299999999999998,1,30,1.35,0.9,4.47,162.0,38.67,0.4545454545454546,0.8999999999999999,1
307,-1,0.030000000000000027,652.9,0.8899999999999999,3,24,1.16,0.62,7.15,83.0,46.0,0.31313131313131315,0.8599999999999999,0
308,2,0.14000000000000012,544.5,1.38,4,62,1.51,0.96,7.52,192.0,71.2,0.48484848484848486,1.2399999999999998,1
309,2,0.06000000000000005,596.7,1.2999999999999998,2,34,1.51,0.88,9.32,144.0,71.2,0.4444444444444445,1.2399999999999998,1
310,2,0.45999999999999996,581.0,1.3199999999999998,2,34,1.16,0.9,8.8,156.0,46.0,0.4545454545454546,0.8599999999999999,1
311,0,0.07999999999999985,577.5,0.9399999999999997,2,34,1.16,0.54,2.7,57.8,46.0,0.27272727272727276,0.8599999999999999,0
312,-1,0.34999999999999987,652.9,0.8899999999999999,3,24,1.51,0.62,7.15,83.0,71.2,0.31313131313131315,1.2399999999999998,0
313,2,0.44999999999999996,603.4,1.4499999999999997,2,34,2.92,0.87,6.97,139.0,68.0,0.4393939393939394,0.9999999999999998,0
314,2,0.20999999999999996,603.4,1.4499999999999997,2,34,1.51,0.87,6.97,139.0,71.2,0.4393939393939394,1.2399999999999998,0
